yourlist:M202109254ABAA9BC7178C81CEBC9459510EDDEA3208C12P,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
hsa:79001,Q9BQB6,VKOR1_HUMAN,reviewed,"Vitamin K epoxide reductase complex subunit 1 (EC 1.17.4.4) (Vitamin K1 2,3-epoxide reductase subunit 1)",VKORC1 VKOR MSTP134 MSTP576 UNQ308/PRO351,Homo sapiens (Human),163
hsa:79001,A0A0S2Z6I4,A0A0S2Z6I4_HUMAN,unreviewed,Vitamin-K-epoxide reductase (warfarin-sensitive) (EC 1.17.4.4) (Fragment),VKORC1,Homo sapiens (Human),163
hsa:84274,Q5HYK3,COQ5_HUMAN,reviewed,"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial (EC 2.1.1.201) (Ubiquinone biosynthesis methyltransferase COQ5)",COQ5,Homo sapiens (Human),327
hsa:10560,O60779,S19A2_HUMAN,reviewed,Thiamine transporter 1 (ThTr-1) (ThTr1) (Solute carrier family 19 member 2) (Thiamine carrier 1) (TC1),SLC19A2 THT1 TRMA,Homo sapiens (Human),497
hsa:10560,A0A024R928,A0A024R928_HUMAN,unreviewed,"Solute carrier family 19 (Thiamine transporter), member 2, isoform CRA_a (Solute carrier family 19 member 2 isoform 2) (Fragment)",SLC19A2 hCG_38014,Homo sapiens (Human),497
hsa:113235,Q96NT5,PCFT_HUMAN,reviewed,Proton-coupled folate transporter (G21) (Heme carrier protein 1) (PCFT/HCP1) (Solute carrier family 46 member 1),SLC46A1 HCP1 PCFT,Homo sapiens (Human),459
hsa:113235,A0A024QZ15,A0A024QZ15_HUMAN,unreviewed,"Heme carrier protein 1, isoform CRA_a",HCP1 hCG_31812,Homo sapiens (Human),459
hsa:113278,Q9NQ40,S52A3_HUMAN,reviewed,"Solute carrier family 52, riboflavin transporter, member 3 (Riboflavin transporter 2) (hRFT2)",SLC52A3 C20orf54 RFT2 RFVT3,Homo sapiens (Human),469
hsa:151056,Q6P1J6,PLB1_HUMAN,reviewed,"Phospholipase B1, membrane-associated (Phospholipase B) (hPLB) (Lysophospholipase) (EC 3.1.1.5) (Phospholipase A2) (EC 3.1.1.4) (Phospholipase B/lipase) (PLB/LIP) (Triacylglycerol lipase) (EC 3.1.1.3)",PLB1 PLB,Homo sapiens (Human),1458
hsa:151056,B2RWP8,B2RWP8_HUMAN,unreviewed,"Lysophospholipase (EC 3.1.1.3) (EC 3.1.1.4) (EC 3.1.1.5) (Phospholipase A2) (Phospholipase B/lipase) (Phospholipase B1, membrane-associated) (Triacylglycerol lipase)",PLB1,Homo sapiens (Human),1458
hsa:158835,Q6E213,AWAT2_HUMAN,reviewed,Acyl-CoA wax alcohol acyltransferase 2 (EC 2.3.1.75) (11-cis-specific retinyl-ester synthase) (11-cis-RE-synthase) (Acyl-CoA retinol O-fatty-acyltransferase) (ARAT) (Retinol O-fatty-acyltransferase) (EC 2.3.1.76) (Diacylglycerol O-acyltransferase 2-like protein 4) (Diacylglycerol O-acyltransferase candidate 4) (hDC4) (Long-chain-alcohol O-fatty-acyltransferase 2) (Multifunctional O-acyltransferase) (Wax synthase) (hWS),AWAT2 DC4 DGAT2L4 MFAT WS,Homo sapiens (Human),333
hsa:2346,Q04609,FOLH1_HUMAN,reviewed,Glutamate carboxypeptidase 2 (EC 3.4.17.21) (Cell growth-inhibiting gene 27 protein) (Folate hydrolase 1) (Folylpoly-gamma-glutamate carboxypeptidase) (FGCP) (Glutamate carboxypeptidase II) (GCPII) (Membrane glutamate carboxypeptidase) (mGCP) (N-acetylated-alpha-linked acidic dipeptidase I) (NAALADase I) (Prostate-specific membrane antigen) (PSM) (PSMA) (Pteroylpoly-gamma-glutamate carboxypeptidase),FOLH1 FOLH NAALAD1 PSM PSMA GIG27,Homo sapiens (Human),750
hsa:25974,Q9Y4U1,MMAC_HUMAN,reviewed,Cyanocobalamin reductase / alkylcobalamin dealkylase (Alkylcobalamin:glutathione S-alkyltransferase) (EC 2.5.1.151) (CblC) (Cyanocobalamin reductase (cyanide-eliminating)) (EC 1.16.1.6) (Methylmalonic aciduria and homocystinuria type C protein) (MMACHC),MMACHC,Homo sapiens (Human),282
hsa:2694,P27352,IF_HUMAN,reviewed,Cobalamin binding intrinsic factor (Gastric intrinsic factor) (Intrinsic factor) (IF) (INF),CBLIF GIF IFMH,Homo sapiens (Human),417
hsa:335,P02647,APOA1_HUMAN,reviewed,Apolipoprotein A-I (Apo-AI) (ApoA-I) (Apolipoprotein A1) [Cleaved into: Proapolipoprotein A-I (ProapoA-I); Truncated apolipoprotein A-I (Apolipoprotein A-I(1-242))],APOA1,Homo sapiens (Human),267
hsa:335,A0A024R3E3,A0A024R3E3_HUMAN,unreviewed,"Apolipoprotein A-I, isoform CRA_a (Epididymis secretory sperm binding protein)",APOA1 hCG_41332,Homo sapiens (Human),267
hsa:337,P06727,APOA4_HUMAN,reviewed,Apolipoprotein A-IV (Apo-AIV) (ApoA-IV) (Apolipoprotein A4),APOA4,Homo sapiens (Human),396
hsa:338,P04114,APOB_HUMAN,reviewed,Apolipoprotein B-100 (Apo B-100) [Cleaved into: Apolipoprotein B-48 (Apo B-48)],APOB,Homo sapiens (Human),4563
hsa:338,Q59HB3,Q59HB3_HUMAN,unreviewed,Apolipoprotein B variant (Fragment),,Homo sapiens (Human),1615
hsa:338,Q7Z7Q0,Q7Z7Q0_HUMAN,unreviewed,APOB protein,APOB,Homo sapiens (Human),825
hsa:4363,P33527,MRP1_HUMAN,reviewed,Multidrug resistance-associated protein 1 (EC 7.6.2.2) (ATP-binding cassette sub-family C member 1) (Glutathione-S-conjugate-translocating ATPase ABCC1) (EC 7.6.2.3) (Leukotriene C(4) transporter) (LTC4 transporter),ABCC1 MRP MRP1,Homo sapiens (Human),1531
hsa:5406,P16233,LIPP_HUMAN,reviewed,Pancreatic triacylglycerol lipase (PL) (PTL) (Pancreatic lipase) (EC 3.1.1.3),PNLIP,Homo sapiens (Human),465
hsa:55788,Q9NUN5,LMBD1_HUMAN,reviewed,Lysosomal cobalamin transport escort protein LMBD1 (LMBD1) (HDAg-L-interacting protein NESI) (LMBR1 domain-containing protein 1) (Nuclear export signal-interacting protein),LMBRD1 C6orf209 NESI BM-021 CD001 MSTP044,Homo sapiens (Human),540
hsa:5948,P50120,RET2_HUMAN,reviewed,Retinol-binding protein 2 (Cellular retinol-binding protein II) (CRBP-II),RBP2 CRBP2,Homo sapiens (Human),134
hsa:6573,P41440,S19A1_HUMAN,reviewed,Reduced folate transporter (FOLT) (Intestinal folate carrier 1) (IFC-1) (Placental folate transporter) (Reduced folate carrier protein) (RFC) (hRFC) (Reduced folate transporter 1) (RFT-1) (Solute carrier family 19 member 1) (hSLC19A1),SLC19A1 FLOT1 RFC1,Homo sapiens (Human),591
hsa:686,P43251,BTD_HUMAN,reviewed,Biotinidase (Biotinase) (EC 3.5.1.12),BTD,Homo sapiens (Human),543
hsa:6948,P20062,TCO2_HUMAN,reviewed,Transcobalamin-2 (TC-2) (Transcobalamin II) (TC II) (TCII),TCN2 TC2,Homo sapiens (Human),427
hsa:8029,O60494,CUBN_HUMAN,reviewed,Cubilin (460 kDa receptor) (Intestinal intrinsic factor receptor) (Intrinsic factor-cobalamin receptor) (Intrinsic factor-vitamin B12 receptor),CUBN IFCR,Homo sapiens (Human),3623
hsa:80704,Q9BZV2,S19A3_HUMAN,reviewed,Thiamine transporter 2 (ThTr-2) (ThTr2) (Solute carrier family 19 member 3),SLC19A3,Homo sapiens (Human),496
hsa:8884,Q9Y289,SC5A6_HUMAN,reviewed,Sodium-dependent multivitamin transporter (Na(+)-dependent multivitamin transporter) (Solute carrier family 5 member 6),SLC5A6 SMVT,Homo sapiens (Human),635
hsa:8884,Q9HD19,Q9HD19_HUMAN,unreviewed,Sodium-dependent multivitamin transporter (Fragment),SLC5A6 SMVT,Homo sapiens (Human),27
hsa:9227,O95237,LRAT_HUMAN,reviewed,Lecithin retinol acyltransferase (EC 2.3.1.135) (Phosphatidylcholine--retinol O-acyltransferase),LRAT,Homo sapiens (Human),230
hsa:949,Q8WTV0,SCRB1_HUMAN,reviewed,"Scavenger receptor class B member 1 (SRB1) (CD36 and LIMPII analogous 1) (CLA-1) (CD36 antigen-like 1) (Collagen type I receptor, thrombospondin receptor-like 1) (SR-BI) (CD antigen CD36)",SCARB1 CD36L1 CLA1,Homo sapiens (Human),552
hsa:949,A0A024RBS4,A0A024RBS4_HUMAN,unreviewed,"Scavenger receptor class B, member 1, isoform CRA_b",SCARB1 hCG_25301,Homo sapiens (Human),509
hsa:9963,Q9UHI7,S23A1_HUMAN,reviewed,Solute carrier family 23 member 1 (Na(+)/L-ascorbic acid transporter 1) (Sodium-dependent vitamin C transporter 1) (hSVCT1) (Yolk sac permease-like molecule 3),SLC23A1 SVCT1 YSPL3,Homo sapiens (Human),598
hsa:10201,O75414,NDK6_HUMAN,reviewed,Nucleoside diphosphate kinase 6 (NDK 6) (NDP kinase 6) (EC 2.7.4.6) (Inhibitor of p53-induced apoptosis-alpha) (IPIA-alpha) (nm23-H6),NME6,Homo sapiens (Human),186
hsa:102157402,Q9Y3D8,KAD6_HUMAN,reviewed,Adenylate kinase isoenzyme 6 (AK6) (EC 2.7.4.3) (Adrenal gland protein AD-004) (Coilin-interacting nuclear ATPase protein) (hCINAP) (Dual activity adenylate kinase/ATPase) (AK/ATPase),AK6 CINAP AD-004 CGI-137,Homo sapiens (Human),172
hsa:10243,Q9NQX3,GEPH_HUMAN,reviewed,Gephyrin [Includes: Molybdopterin adenylyltransferase (MPT adenylyltransferase) (EC 2.7.7.75) (Domain G); Molybdopterin molybdenumtransferase (MPT Mo-transferase) (EC 2.10.1.1) (Domain E)],GPHN GPH KIAA1385,Homo sapiens (Human),736
hsa:10327,P14550,AK1A1_HUMAN,reviewed,Aldo-keto reductase family 1 member A1 (EC 1.1.1.2) (EC 1.1.1.372) (EC 1.1.1.54) (Alcohol dehydrogenase [NADP(+)]) (Aldehyde reductase) (Glucuronate reductase) (EC 1.1.1.19) (Glucuronolactone reductase) (EC 1.1.1.20),AKR1A1 ALDR1 ALR,Homo sapiens (Human),325
hsa:10327,V9HWI0,V9HWI0_HUMAN,unreviewed,Alcohol dehydrogenase [NADP(+)] (EC 1.1.1.19) (EC 1.1.1.2) (EC 1.1.1.20) (EC 1.1.1.372) (EC 1.1.1.54) (Aldehyde reductase) (Aldo-keto reductase family 1 member A1) (Glucuronate reductase) (Glucuronolactone reductase),HEL-S-165mP HEL-S-6,Homo sapiens (Human),325
hsa:10720,O75310,UDB11_HUMAN,reviewed,UDP-glucuronosyltransferase 2B11 (UDPGT 2B11) (EC 2.4.1.17),UGT2B11,Homo sapiens (Human),529
hsa:10797,P13995,MTDC_HUMAN,reviewed,"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial [Includes: NAD-dependent methylenetetrahydrofolate dehydrogenase (EC 1.5.1.15); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)]",MTHFD2 NMDMC,Homo sapiens (Human),350
hsa:10941,P0DTE4,UD2A1_HUMAN,reviewed,UDP-glucuronosyltransferase 2A1 (UDPGT 2A1) (UGT2A1) (EC 2.4.1.17),UGT2A1,Homo sapiens (Human),527
hsa:11019,O43766,LIAS_HUMAN,reviewed,"Lipoyl synthase, mitochondrial (EC 2.8.1.8) (Lipoate synthase) (LS) (Lip-syn) (Lipoic acid synthase)",LIAS LAS HUSSY-01,Homo sapiens (Human),372
hsa:11019,A0A024R9W0,A0A024R9W0_HUMAN,unreviewed,"Lipoyl synthase, mitochondrial (EC 2.8.1.8) (Lipoate synthase) (LS) (Lip-syn) (Lipoic acid synthase)",LIAS hCG_38555,Homo sapiens (Human),372
hsa:112724,Q8NBN7,RDH13_HUMAN,reviewed,Retinol dehydrogenase 13 (EC 1.1.1.300) (Short chain dehydrogenase/reductase family 7C member 3),RDH13 SDR7C3 PSEC0082 UNQ736/PRO1430,Homo sapiens (Human),331
hsa:112724,A0A024R4M8,A0A024R4M8_HUMAN,unreviewed,"Retinol dehydrogenase 13 (All-trans and 9-cis), isoform CRA_a",RDH13 hCG_20266,Homo sapiens (Human),331
hsa:112724,B3KVA3,B3KVA3_HUMAN,unreviewed,"cDNA FLJ16300 fis, clone PLACE7000167, highly similar to Retinol dehydrogenase 13",,Homo sapiens (Human),220
hsa:122481,Q96M32,KAD7_HUMAN,reviewed,Adenylate kinase 7 (AK 7) (EC 2.7.4.3) (EC 2.7.4.6) (ATP-AMP transphosphorylase 7),AK7,Homo sapiens (Human),723
hsa:122622,Q8N142,PURA1_HUMAN,reviewed,"Adenylosuccinate synthetase isozyme 1 (AMPSase 1) (AdSS 1) (EC 6.3.4.4) (Adenylosuccinate synthetase, basic isozyme) (Adenylosuccinate synthetase, muscle isozyme) (M-type adenylosuccinate synthetase) (Adenylosuccinate synthetase-like 1) (AdSSL1) (IMP--aspartate ligase 1)",ADSS1 ADSSL1,Homo sapiens (Human),457
hsa:124454,Q5JPH6,SYEM_HUMAN,reviewed,"Probable glutamate--tRNA ligase, mitochondrial (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS)",EARS2 KIAA1970,Homo sapiens (Human),523
hsa:125061,Q63HM1,KFA_HUMAN,reviewed,Kynurenine formamidase (KFA) (KFase) (EC 3.5.1.9) (Arylformamidase) (N-formylkynurenine formamidase) (FKF),AFMID,Homo sapiens (Human),303
hsa:129607,Q5EBM0,CMPK2_HUMAN,reviewed,"UMP-CMP kinase 2, mitochondrial (EC 2.7.4.14) (Nucleoside-diphosphate kinase) (EC 2.7.4.6)",CMPK2,Homo sapiens (Human),449
hsa:133686,Q4G0N4,NAKD2_HUMAN,reviewed,"NAD kinase 2, mitochondrial (EC 2.7.1.23) (Mitochondrial NAD kinase) (NAD kinase domain-containing protein 1, mitochondrial)",NADK2 C5orf33 MNADK NADKD1,Homo sapiens (Human),442
hsa:1352,Q12887,COX10_HUMAN,reviewed,"Protoheme IX farnesyltransferase, mitochondrial (EC 2.5.1.141) (Heme O synthase)",COX10,Homo sapiens (Human),443
hsa:1355,Q7KZN9,COX15_HUMAN,reviewed,Cytochrome c oxidase assembly protein COX15 homolog,COX15,Homo sapiens (Human),410
hsa:1371,P36551,HEM6_HUMAN,reviewed,"Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial (COX) (Coprogen oxidase) (Coproporphyrinogenase) (EC 1.3.3.3)",CPOX CPO CPX,Homo sapiens (Human),454
hsa:145226,Q96NR8,RDH12_HUMAN,reviewed,Retinol dehydrogenase 12 (EC 1.1.1.300) (All-trans and 9-cis retinol dehydrogenase) (Short chain dehydrogenase/reductase family 7C member 2),RDH12 SDR7C2,Homo sapiens (Human),316
hsa:145226,A0A0S2Z613,A0A0S2Z613_HUMAN,unreviewed,Retinol dehydrogenase 12 isoform 1 (Fragment),RDH12,Homo sapiens (Human),316
hsa:1503,P17812,PYRG1_HUMAN,reviewed,CTP synthase 1 (EC 6.3.4.2) (CTP synthetase 1) (UTP--ammonia ligase 1),CTPS1 CTPS,Homo sapiens (Human),591
hsa:158,P30566,PUR8_HUMAN,reviewed,Adenylosuccinate lyase (ADSL) (ASL) (EC 4.3.2.2) (Adenylosuccinase) (ASase),ADSL AMPS,Homo sapiens (Human),484
hsa:158,X5D8S6,X5D8S6_HUMAN,unreviewed,Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase) (Fragment),ADSL hCG_40060,Homo sapiens (Human),484
hsa:158067,Q96MA6,KAD8_HUMAN,reviewed,Adenylate kinase 8 (AK 8) (EC 2.7.4.3) (EC 2.7.4.6) (ATP-AMP transphosphorylase 8),AK8 C9orf98,Homo sapiens (Human),479
hsa:159,P30520,PURA2_HUMAN,reviewed,"Adenylosuccinate synthetase isozyme 2 (AMPSase 2) (AdSS 2) (EC 6.3.4.4) (Adenylosuccinate synthetase, acidic isozyme) (Adenylosuccinate synthetase, liver isozyme) (L-type adenylosuccinate synthetase) (IMP--aspartate ligase 2)",ADSS2 ADSS,Homo sapiens (Human),456
hsa:159,A0A024R5Q7,A0A024R5Q7_HUMAN,unreviewed,"Adenylosuccinate synthetase isozyme 2 (AMPSase 2) (AdSS 2) (EC 6.3.4.4) (Adenylosuccinate synthetase, acidic isozyme) (Adenylosuccinate synthetase, liver isozyme) (L-type adenylosuccinate synthetase) (IMP--aspartate ligase 2)",ADSS ADSS2 hCG_15389,Homo sapiens (Human),456
hsa:169355,Q6ZQW0,I23O2_HUMAN,reviewed,"Indoleamine 2,3-dioxygenase 2 (IDO-2) (EC 1.13.11.-) (Indoleamine 2,3-dioxygenase-like protein 1) (Indoleamine-pyrrole 2,3-dioxygenase-like protein 1)",IDO2 INDOL1,Homo sapiens (Human),420
hsa:1719,P00374,DYR_HUMAN,reviewed,Dihydrofolate reductase (EC 1.5.1.3),DHFR,Homo sapiens (Human),187
hsa:1719,B0YJ76,B0YJ76_HUMAN,unreviewed,Dihydrofolate reductase (EC 1.5.1.3),DYR DHFR,Homo sapiens (Human),187
hsa:1723,Q02127,PYRD_HUMAN,reviewed,"Dihydroorotate dehydrogenase (quinone), mitochondrial (DHOdehase) (EC 1.3.5.2) (Dihydroorotate oxidase)",DHODH,Homo sapiens (Human),395
hsa:1738,P09622,DLDH_HUMAN,reviewed,"Dihydrolipoyl dehydrogenase, mitochondrial (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase) (Glycine cleavage system L protein)",DLD GCSL LAD PHE3,Homo sapiens (Human),509
hsa:1738,A0A024R713,A0A024R713_HUMAN,unreviewed,Dihydrolipoyl dehydrogenase (EC 1.8.1.4),DLD hCG_17110,Homo sapiens (Human),509
hsa:195814,Q8N3Y7,RDHE2_HUMAN,reviewed,Epidermal retinol dehydrogenase 2 (EPHD-2) (RDH-E2) (EC 1.1.1.105) (Retinal short-chain dehydrogenase reductase 2) (retSDR2) (Short-chain dehydrogenase/reductase family 16C member 5),SDR16C5 RDHE2,Homo sapiens (Human),309
hsa:195814,B3KT84,B3KT84_HUMAN,unreviewed,"cDNA FLJ37840 fis, clone BRSSN2011799, highly similar to Homo sapiens epidermal retinal dehydrogenase 2 (RDHE2), mRNA",,Homo sapiens (Human),231
hsa:200895,Q86XF0,DYR2_HUMAN,reviewed,"Dihydrofolate reductase 2, mitochondrial (Dihydrofolate reductase, mitochondrial) (EC 1.5.1.3) (Dihydrofolate reductase-like protein 1)",DHFR2 DHFRL1 DHFRP4,Homo sapiens (Human),187
hsa:203,P00568,KAD1_HUMAN,reviewed,Adenylate kinase isoenzyme 1 (AK 1) (EC 2.7.4.3) (EC 2.7.4.6) (ATP-AMP transphosphorylase 1) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase) (Myokinase),AK1,Homo sapiens (Human),194
hsa:203,Q6FGX9,Q6FGX9_HUMAN,unreviewed,Adenylate kinase isoenzyme 1 (AK 1) (EC 2.7.4.3) (EC 2.7.4.6) (ATP-AMP transphosphorylase 1) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase) (Myokinase),AK1 HTL-S-58j hCG_2039407,Homo sapiens (Human),194
hsa:204,P54819,KAD2_HUMAN,reviewed,"Adenylate kinase 2, mitochondrial (AK 2) (EC 2.7.4.3) (ATP-AMP transphosphorylase 2) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase) [Cleaved into: Adenylate kinase 2, mitochondrial, N-terminally processed]",AK2 ADK2,Homo sapiens (Human),239
hsa:204,A0A140VK93,A0A140VK93_HUMAN,unreviewed,"Adenylate kinase 2, mitochondrial (AK 2) (EC 2.7.4.3) (ATP-AMP transphosphorylase 2) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase)",AK2,Homo sapiens (Human),239
hsa:205,P27144,KAD4_HUMAN,reviewed,"Adenylate kinase 4, mitochondrial (AK 4) (EC 2.7.4.10) (EC 2.7.4.6) (Adenylate kinase 3-like) (GTP:AMP phosphotransferase AK4)",AK4 AK3 AK3L1,Homo sapiens (Human),223
hsa:2058,P07814,SYEP_HUMAN,reviewed,Bifunctional glutamate/proline--tRNA ligase (Bifunctional aminoacyl-tRNA synthetase) (Cell proliferation-inducing gene 32 protein) (Glutamatyl-prolyl-tRNA synthetase) [Includes: Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS); Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase)],EPRS1 EPRS GLNS PARS QARS QPRS PIG32,Homo sapiens (Human),1512
hsa:210,P13716,HEM2_HUMAN,reviewed,Delta-aminolevulinic acid dehydratase (ALADH) (EC 4.2.1.24) (Porphobilinogen synthase),ALAD,Homo sapiens (Human),330
hsa:210,A0A140VJL9,A0A140VJL9_HUMAN,unreviewed,Delta-aminolevulinic acid dehydratase (EC 4.2.1.24),,Homo sapiens (Human),330
hsa:210,Q6ZMU0,Q6ZMU0_HUMAN,unreviewed,Delta-aminolevulinic acid dehydratase (EC 4.2.1.24),,Homo sapiens (Human),359
hsa:211,P13196,HEM1_HUMAN,reviewed,"5-aminolevulinate synthase, nonspecific, mitochondrial (ALAS-H) (EC 2.3.1.37) (5-aminolevulinic acid synthase 1) (Delta-ALA synthase 1) (Delta-aminolevulinate synthase 1)",ALAS1 ALAS3 ALASH OK/SW-cl.121,Homo sapiens (Human),640
hsa:211,Q5JAM2,Q5JAM2_HUMAN,unreviewed,5-aminolevulinate synthase (EC 2.3.1.37) (5-aminolevulinic acid synthase) (Delta-ALA synthase) (Delta-aminolevulinate synthase),ALAS1 hCG_42575,Homo sapiens (Human),640
hsa:212,P22557,HEM0_HUMAN,reviewed,"5-aminolevulinate synthase, erythroid-specific, mitochondrial (ALAS-E) (EC 2.3.1.37) (5-aminolevulinic acid synthase 2) (Delta-ALA synthase 2) (Delta-aminolevulinate synthase 2)",ALAS2 ALASE ASB,Homo sapiens (Human),587
hsa:217,P05091,ALDH2_HUMAN,reviewed,"Aldehyde dehydrogenase, mitochondrial (EC 1.2.1.3) (ALDH class 2) (ALDH-E2) (ALDHI)",ALDH2 ALDM,Homo sapiens (Human),517
hsa:217,A0A384NPN7,A0A384NPN7_HUMAN,unreviewed,"Aldehyde dehydrogenase 2 family (Mitochondrial), isoform CRA_c (Epididymis secretory sperm binding protein)",ALDH2 hCG_2039620,Homo sapiens (Human),517
hsa:219,P30837,AL1B1_HUMAN,reviewed,"Aldehyde dehydrogenase X, mitochondrial (EC 1.2.1.3) (Aldehyde dehydrogenase 5) (Aldehyde dehydrogenase family 1 member B1)",ALDH1B1 ALDH5 ALDHX,Homo sapiens (Human),517
hsa:219,A0A384MTJ7,A0A384MTJ7_HUMAN,unreviewed,Epididymis secretory sperm binding protein,,Homo sapiens (Human),517
hsa:221264,Q5TCS8,KAD9_HUMAN,reviewed,Adenylate kinase 9 (AK 9) (EC 2.7.4.4) (EC 2.7.4.6) (Adenylate kinase domain-containing protein 1) (Adenylate kinase domain-containing protein 2),AK9 AKD1 AKD2 C6orf199 C6orf224,Homo sapiens (Human),1911
hsa:2235,P22830,HEMH_HUMAN,reviewed,"Ferrochelatase, mitochondrial (EC 4.99.1.1) (Heme synthase) (Protoheme ferro-lyase)",FECH,Homo sapiens (Human),423
hsa:2235,Q7KZA3,Q7KZA3_HUMAN,unreviewed,Ferrochelatase (EC 4.99.1.1),DKFZp686P18130,Homo sapiens (Human),416
hsa:224,P51648,AL3A2_HUMAN,reviewed,Aldehyde dehydrogenase family 3 member A2 (EC 1.2.1.3) (EC 1.2.1.94) (Aldehyde dehydrogenase 10) (Fatty aldehyde dehydrogenase) (Microsomal aldehyde dehydrogenase),ALDH3A2 ALDH10 FALDH,Homo sapiens (Human),485
hsa:23057,Q9BZQ4,NMNA2_HUMAN,reviewed,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 2 (NMN/NaMN adenylyltransferase 2) (EC 2.7.7.1) (EC 2.7.7.18) (Nicotinamide mononucleotide adenylyltransferase 2) (NMN adenylyltransferase 2) (Nicotinate-nucleotide adenylyltransferase 2) (NaMN adenylyltransferase 2),NMNAT2 C1orf15 KIAA0479,Homo sapiens (Human),307
hsa:23475,Q15274,NADC_HUMAN,reviewed,Nicotinate-nucleotide pyrophosphorylase [carboxylating] (EC 2.4.2.19) (Quinolinate phosphoribosyltransferase [decarboxylating]) (QAPRTase) (QPRTase),QPRT,Homo sapiens (Human),297
hsa:23475,B4DDH4,B4DDH4_HUMAN,unreviewed,"cDNA FLJ58446, highly similar to Nicotinate-nucleotide pyrophosphorylase (carboxylating)",,Homo sapiens (Human),152
hsa:23475,V9HWJ5,V9HWJ5_HUMAN,unreviewed,Nicotinate-nucleotide pyrophosphorylase [carboxylating] (EC 2.4.2.19) (Quinolinate phosphoribosyltransferase [decarboxylating]),HEL-S-90n QPRT,Homo sapiens (Human),297
hsa:23498,P46952,3HAO_HUMAN,reviewed,"3-hydroxyanthranilate 3,4-dioxygenase (EC 1.13.11.6) (3-hydroxyanthranilate oxygenase) (3-HAO) (h3HAO) (3-hydroxyanthranilic acid dioxygenase) (HAD)",HAAO,Homo sapiens (Human),286
